X (mm),Y (mm),Gore Section
1278.0528251142482,426.10648202104,10N
1235.1319885922,387.2175932886627,10N
1254.89360426772,376.1064822222692,10N
1374.2745152089133,453.88425968702353,11N
1281.767518123411,392.77314882185965,10N
1255.7397741203185,364.99537115587617,10N
1240.3510510472347,442.7731486206302,10N
1311.2873697257564,342.7731490230891,10N
1267.5918628470752,337.2175934898924,10N
1222.1490573118294,220.55092729276154,10N
1220.6873623113386,392.77314882185965,10N
1236.8023979018549,359.43981562267925,10N
1250.5274443924652,370.5509266890728,10N
1273.9722778948942,376.1064822222692,10N
1240.2221785952456,381.6620377554663,10N
1164.2137279746971,348.32870455628597,10N
1221.7041422166624,237.21759389235172,10N
1294.5108419330088,403.88425988825315,10N
1249.5431057012697,309.4398158239091,10N
1245.1011439891597,298.3287047575156,10N
1272.959532321257,331.6620379566959,10N
1159.268681912002,337.2175934898924,10N
1237.1215570139937,353.88426008948284,10N
1382.719919738681,414.9953709546467,11N
1279.2838203881995,370.5509266890728,10N
1274.2469100027315,314.9953713571055,10N
1260.5551876217785,364.99537115587617,10N
1243.3685210610201,403.88425988825315,10N
1283.511614708481,376.1064822222692,10N
1252.4536216789795,342.7731490230891,10N
1239.481256407361,392.77314882185965,10N
1192.7593519046268,381.6620377554663,10N
1307.3599567424496,376.1064822222692,10N
1281.2406532818623,437.2175930874333,10N
1210.4194475788609,270.5509270915321,10N
1188.0130692355642,381.6620377554663,10N
1254.8024379875562,431.66203755423663,10N
1154.293228374396,331.6620379566959,10N
1208.560453174347,453.88425968702353,10N
1384.5999698072078,464.99537075341726,11N
1311.9058914114241,337.2175934898924,10N
1211.5191844390456,387.2175932886627,10N
1307.310828068005,281.66203815792517,10N
1247.45417118654,248.32870495874525,10N
1368.1988289293138,409.4398154214498,11N
1308.0401963839336,370.5509266890728,10N
1402.666630879899,470.55092628661373,11N
1262.2592463534424,342.7731490230891,10N
1304.5400396162704,398.3287043550563,10N
1305.7761372502691,348.32870455628597,10N
1379.460627718693,459.4398152202204,11N
1235.475895926183,381.6620377554663,10N
1233.9474329216341,320.55092689030266,10N
1221.2268744057992,253.8842604919417,10N
1295.4391103895705,353.88426008948284,10N
1246.108947117397,364.99537115587617,10N
1220.359257479715,281.66203815792517,10N
1300.8946748614555,348.32870455628597,10N
1225.385835835344,392.77314882185965,10N
1270.6668673136046,359.43981562267925,10N
1238.0491771375093,337.2175934898924,10N
1266.0501734938098,287.2175936911223,10N
1313.1139933869158,326.1064824234991,10N
1430.0827448500154,487.2175928862039,11N
1408.2562162867202,481.66203735300724,11N
1383.8434790155038,459.4398152202204,11N
1233.1253961859154,337.2175934898924,10N
1288.8692790534444,370.5509266890728,10N
1220.9643061003082,387.2175932886627,10N
1229.4206153686594,403.88425988825315,10N
